Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","CP_EIA-3528-12_Kemet-T",204.275000,-110.575000,90.000000,top
"C2","10uF","C_0805_2012Metric",204.275000,-114.425000,0.000000,top
"C3","330uF","CP_EIA-3528-12_Kemet-T",166.275000,-108.225000,270.000000,top
"C4","330uF","CP_EIA-3528-12_Kemet-T",170.775000,-108.225000,270.000000,top
"C5","22uF","CP_EIA-3528-12_Kemet-T",184.750000,-122.400000,90.000000,top
"C6","10uF","C_0805_2012Metric",184.825000,-126.525000,0.000000,top
"Q1","BSS138","SOT-23",177.250000,-108.225000,90.000000,top
"R1","10k","R_0805_2012Metric",177.250000,-111.200000,0.000000,top
"R2","10k","R_0805_2012Metric",177.325000,-105.125000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",211.675000,-111.600000,0.000000,top
"U2","SeeeduinoXIAO","Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM",182.675000,-115.000000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",192.525000,-123.875000,0.000000,top
